accident_severity,number_of_casualties,crash_type,driver_alcohol,driver_age,driver_experience,weather_conditions,road_light_condition,traffic_density,road_conditions,time_of_day,road_defect,road_type,intersection_related,speed_limit,vehicle_type,vehicle_age,maintenance_required,failure_history,brake_condition,source
slight,1.0,,,,,other,daylight,,frost or ice,14:45,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,19:30,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,21:55,,dual carriageway,crossroads,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,2:50,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:30,,single carriageway,mini-roundabout,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:12,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:20,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:41,,dual carriageway,roundabout,70.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,16:02,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,12:01,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,11:12,,single carriageway,t or staggered junction,40.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:40,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:55,,single carriageway,t or staggered junction,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,frost or ice,15:00,,dual carriageway,more than 4 arms (not roundabout),70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:12,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,0:01,,single carriageway,t or staggered junction,30.0,agricultural vehicle,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,wet or damp,1:45,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:50,,roundabout,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,0:14,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:00,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,dry,10:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,8:00,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:30,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,18:17,,roundabout,mini-roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:20,,dual carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:15,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,14:25,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,21:15,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,3:30,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,1:30,,dual carriageway,private drive or entrance,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,21:28,,single carriageway,t or staggered junction,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:35,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:45,,dual carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,frost or ice,10:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,19:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:50,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,16:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:45,,single carriageway,t or staggered junction,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,19:16,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,daylight,,dry,12:29,,single carriageway,crossroads,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,6:50,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:30,,roundabout,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,14:30,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:55,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:28,,single carriageway,private drive or entrance,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:35,,single carriageway,crossroads,30.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:15,,single carriageway,t or staggered junction,30.0,taxi/private hire car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,18:30,,single carriageway,t or staggered junction,40.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,wet or damp,11:10,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:30,,single carriageway,not at junction or within 20 metres,30.0,motorcycle 50cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:57,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,0:01,,single carriageway,private drive or entrance,60.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,14:05,,roundabout,mini-roundabout,30.0,minibus (8 - 16 passenger seats),,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,14:10,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,15:25,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:50,,single carriageway,other junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:30,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,16:30,,dual carriageway,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,10:00,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,22:55,,single carriageway,not at junction or within 20 metres,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,16:35,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,15:50,,dual carriageway,crossroads,40.0,motorcycle 125cc and under,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,18:00,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:25,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:58,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,15:48,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:28,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
fatal,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,7:07,,single carriageway,crossroads,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:58,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,9:30,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,snowing no high winds,daylight,,snow,15:00,,dual carriageway,t or staggered junction,40.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,22:00,,single carriageway,t or staggered junction,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,15:40,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,7:00,,single carriageway,t or staggered junction,30.0,other vehicle,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:25,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,wet or damp,7:30,,single carriageway,t or staggered junction,60.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:21,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:07,,one way street,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:20,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,dry,17:00,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:40,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,daylight,,dry,9:15,,dual carriageway,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:30,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,21:18,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - no lighting,,wet or damp,19:00,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:00,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:45,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,22:35,,single carriageway,crossroads,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,20:20,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:05,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,darkness - lighting unknown,,dry,21:50,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,6:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,17:55,,single carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:52,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:19,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,frost or ice,7:45,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:18,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,18:25,,roundabout,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,daylight,,wet or damp,7:50,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:55,,single carriageway,not at junction or within 20 metres,60.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,6:47,,dual carriageway,t or staggered junction,30.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,11:14,,single carriageway,more than 4 arms (not roundabout),30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:40,,dual carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:15,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:20,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:25,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:45,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:19,,dual carriageway,not at junction or within 20 metres,70.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:15,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,18:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - no lighting,,dry,1:33,,single carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:35,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:30,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,1:55,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,19:15,,single carriageway,t or staggered junction,30.0,motorcycle 50cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,20:55,,single carriageway,more than 4 arms (not roundabout),30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,15:36,,dual carriageway,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,snowing no high winds,darkness - lights lit,,snow,23:15,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,darkness - no lighting,,wet or damp,22:05,,single carriageway,not at junction or within 20 metres,60.0,bus or coach (17 or more pass seats),,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,17:24,,one way street,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,23:40,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,14:45,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:05,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,17:15,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,22:20,,single carriageway,not at junction or within 20 metres,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:30,,dual carriageway,not at junction or within 20 metres,50.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:10,,single carriageway,crossroads,60.0,car,,,,,dataset1_road_accident
fatal,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,1:55,,dual carriageway,not at junction or within 20 metres,40.0,motorcycle 50cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,raining + high winds,darkness - lights lit,,wet or damp,18:10,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
